ccode,year,styear,endyear,lqgia,qgia,qgig,lqgia1,qgia1,qgig1,pcig,pci,infla,loda,oda,lremit,remit,ltrade,trade,popg,lxrate,xrate,lforce,pop,linvest,invest,gfcf,mob,aidi,rents,fdif,lfdis,fdis,lgexped,gexped,lgexhpc,gexhpc,lgexhgdp,gexhgdp,gexhpcp,exexph,va,psavt,ge,rq,rl,cc,lgpva,gpva,govg,dcred,lfd,fd,fi,fm,fid,fia,fie,fmd,fma,fme,ldepen,depen,ldepen_old,depen_old,ldepen_young,depen_young,time,sinfla,cname,cticker
42,1999,1995,1999,-1.3145773,.26858783,.070715308,-1.1006504,.33265463,.20411617,2.0029519,998.81366,3.2219307,2.1402719,8.5017481,.88900262,2.4327021,3.8857799,48.704914,2.4604793,6.3278637,559.95905,2604433.5,9130079,2.3626449,10.619,16.907251,.26114422,11.52217,2.925971,9.2967253,3.8988922,49.347744,.9036715,2.4686501,2.0372386,7.6694012,.23366691,1.2632236,24.403688,2.7523324,.84511441,.96503347,.73120695,.62390316,.79715919,.79943877,-.23112199,.79364264,.78658158,11.85428,-2.4108505,.089738935,.17483579,.001908222,.050470628,.028877884,.55373156,.0050780391,0,0,4.5498414,94.617401,1.8577957,6.4095926,4.4796953,88.207809,1 1995:1999,1.1699808,Senegal,SEN
42,2004,2000,2004,-1.3156422,.26830196,.063477993,-1.0835128,.33840469,.20761223,1.2013084,1084.2557,1.8197238,1.9770511,7.221417,1.6300792,5.1042786,3.9308031,50.947876,2.4396091,6.474987,648.71088,2934112.3,10293817,2.8787041,17.791201,18.683907,5.7476845,11.621332,2.3105037,5.8603721,3.3783121,29.321236,.9776485,2.6581981,2.3773544,10.776355,.37884903,1.4606025,30.263548,2.9071062,.87294888,.91328752,.72204363,.6463238,.74736112,.75290328,-.25384587,.77581137,.7702238,12.95595,-2.3997285,.090742573,.17700598,.001714728,.056380156,.030254472,.55026215,.0045631258,0,0,4.5067511,90.626884,1.8466321,6.3384361,4.4342446,84.288445,2 2000:2004,.59868473,Senegal,SEN
42,2009,2005,2009,-1.2757046,.27923414,.072987288,-1.4266528,.24011128,.24011128,.49703273,1136.3641,4.0264788,1.8797351,6.5517693,2.0975096,8.1458578,4.0354462,56.568165,2.6393723,6.1922035,488.92224,3304322.5,11699853,3.122268,22.6978,20.619965,34.742664,13.608129,2.6142011,21.578838,4.3002276,73.716576,1.4160691,4.1208901,2.860719,17.474085,.38960379,1.4763957,37.536606,5.7403617,.81414735,.84804887,.69480342,.63581783,.70235431,.71247351,-.30841884,.73460758,.73087466,17.144562,-2.3314636,.09715344,.18880901,.0025381299,.066100501,.050289184,.54724789,.0067543099,0,0,4.4783835,88.092148,1.8217857,6.1828895,4.405612,81.909256,3 2005:2009,1.3928922,Senegal,SEN
42,2014,2010,2014,-1.1751173,.30878276,.10093825,-.92130649,.39799872,.3048355,.63552171,1149.8716,1.6812537,1.7624065,5.8264418,2.2262659,9.2652044,4.064158,58.215866,2.780266,6.2002072,492.85123,3587003.5,13414223,3.1411996,23.131599,21.176725,83.979843,19.939688,3.570086,23.715044,5.1814232,177.93584,1.6603034,5.2609062,2.770124,15.960613,.16735217,1.1821705,33.705708,14.242433,.82768452,.80969077,.68753839,.62852889,.67054296,.73798478,-.31883562,.72699505,.72327524,24.650826,-2.3572037,.094684616,.18255,.0039347168,.07915239,.07225313,.46487063,.010470819,0,0,4.4709535,87.440071,1.7988249,6.0425429,4.3993449,81.397522,4 2010:2014,.51953977,Senegal,SEN
42,2019,2015,2019,-1.0736109,.34177217,.080642387,-.81076854,.4445163,.31708157,3.2280712,1307.7566,.72993231,1.5771617,4.8411956,2.338896,10.369781,4.0759921,58.908886,2.7896078,6.365037,581.16632,4002356.8,15428401,3.3713772,29.118601,26.006083,104.05424,25.764923,2.9523156,43.316883,5.7374115,310.26031,1.6229408,5.0679722,2.6013741,13.482252,-.0048352364,.99517643,34.605202,23.541592,.87968594,.84652716,.69677144,.62220663,.67520291,.77521867,-.28865743,.74926883,.74345177,28.792196,-2.2430608,.10613316,.19969793,.0093350839,.094846785,.086140193,.4832142,.024841933,0,0,4.4558825,86.132149,1.7788841,5.923243,4.3846345,80.208908,5 2015:2019,-.27006769,Senegal,SEN
44,1999,1995,1999,-1.3560822,.25766829,.044182856,-1.1150093,.32791224,.10596326,-3.1478851,408.26123,21.280043,2.8715718,17.664762,.91509098,2.4970024,3.6479776,38.396931,.69588107,7.0942755,1205.0487,1561890.8,4359153,1.3992106,4.052,3.9581716,0,4.5080209,16.347906,.48113731,4.0239978,55.924225,1.5992603,4.9493699,1.4362936,4.205081,.73121661,2.0776067,21.923344,7.0594702,.69821292,.96503347,.88997298,.74634129,.86269045,.83173382,-.18352529,.83233082,.82722259,2.6450005,-2.7040398,.066934571,.13088755,.00094245502,.010388929,.011606605,.47603884,.002508,0,0,4.5132246,91.215477,1.9308501,6.89537,4.4346204,84.320107,1 1995:1999,3.0577698,Sierra Leone,SLE
44,2004,2000,2004,-1.3602889,.25658664,.050247863,-1.1074595,.33039725,.13345841,4.3099518,427.31244,19.832273,3.3568401,28.698362,.33746994,1.4013975,3.7969904,44.566849,3.9398737,7.716599,2245.3103,1792976.8,4987895.5,2.2478755,9.4675999,9.0373783,1.0880367,4.5495214,10.944727,5.1166353,4.1398983,62.796429,1.2971959,3.6590221,1.7405093,5.7002454,.84940052,2.3382447,20.013617,7.6658158,.70305139,.94772422,.8218202,.64928001,.8327933,.82079542,-.22826827,.79591072,.78876179,2.4097891,-2.5543656,.077741534,.15216306,.00095164397,.012865404,.011719775,.55507565,.0025324549,0,0,4.4978805,89.82653,1.8595223,6.4206691,4.4237185,83.405861,2 2000:2004,2.9873106,Sierra Leone,SLE
44,2009,2005,2009,-1.3182324,.2676079,.047937963,-1.8359674,.15945916,.15945916,2.1033549,496.98752,10.706142,2.9633291,19.362324,.055404067,1.0569676,3.736388,41.946205,2.8707573,8.019866,3040.7695,2121476.3,5974169,2.3121195,10.0958,9.9731302,15.965185,5.1781511,11.074401,13.601084,4.267045,71.310608,.98161244,2.668756,1.3161103,3.7288888,.085277349,1.0890191,11.220786,20.480865,.7837643,.92277002,.8215602,.66537529,.79778337,.80329317,-.2242804,.79909104,.79512507,4.9711614,-2.7906861,.061379083,.1169493,.0039389851,.022825031,.020191038,.38684845,.010482175,0,0,4.4725413,87.578995,1.8027313,6.0661931,4.4007602,81.512802,3 2005:2009,2.3708177,Sierra Leone,SLE
44,2014,2010,2014,-1.1207724,.32602787,.065674096,-.86359167,.42164496,.21206576,7.9741797,643.45679,11.062968,2.6566858,14.248987,.47895163,1.6143811,4.3717418,79.181442,2.2429023,8.3676691,4305.5889,2278503.8,6714517.5,3.2327235,25.3486,25.082218,44.544132,7.0170255,9.2971497,81.131905,5.0616765,157.8549,.96867901,2.6344621,1.7860153,5.9656334,.050130609,1.0514084,15.603201,68.990028,.7886706,.91454107,.8599053,.69351828,.79096568,.8281281,-.20748979,.81262153,.80954188,6.2735972,-2.726187,.065468445,.12209745,.0068449718,.028337566,.030831685,.38028821,.018215405,0,0,4.4332232,84.202393,1.7701558,5.871768,4.3609385,78.330627,4 2010:2014,2.4036033,Sierra Leone,SLE
44,2019,2015,2019,-1.0551318,.34814656,.091755353,-.79309672,.45244154,.26941979,-2.3762512,620.74811,11.449433,2.8541276,17.359287,.26445672,1.3027231,4.1912684,66.106606,2.1491585,8.8733931,7139.4658,2550965.8,7490507.5,2.7466681,15.5906,15.496573,84.446373,9.8802862,12.308795,29.353395,5.2489214,190.36086,1.6137625,5.0216699,2.2042797,9.0637207,.52603227,1.6922047,26.144623,95.270653,.80010527,.91006577,.87944049,.72134781,.81017041,.8841598,-.18126421,.83421493,.83161801,5.6263041,-2.7890451,.061479896,.11611764,.0049692011,.032476373,.031006843,.34981307,.013223721,0,0,4.3768382,79.586014,1.7346867,5.6671519,4.302968,73.918861,5 2015:2019,2.4379401,Sierra Leone,SLE
